"MoSCoW","Requirements"
"Must","Show the inventory items from inventory.json"
"Must","Let the user pick a target marketplace from marketplaces.json"
"Must","Generate a listing, a title and a description, for an item, for the selected marketplace. This must go through a Next.js API route you write."
"Must","Enforce title_max_chars"
"Must","Enforce banned_words"
"Must","Enforce require_condition_in_title"
"Must","A listing that breaks any of those must not be publishable, and the user must be able to see clearly what's wrong."
"Must","Let the user edit the title and description"
"Must","Let the user regenerate the listing"
"Must","Rule violations should be visible while editing."
"Must","Let the user approve a listing, which moves it to a list of approved Listings. Approving something that breaks the marketplace's rules should not be possible."
"Must","Handle the in-between states: generating, and failed."
"Should","Handle description_max_chars and allow_html"
"Should","Generation should go through an LLM"
"Won't","Authentication, users, or accounts"
"Won't","A database or persistence, in-memory is fine, refreshing may lose everything"
"Won't","Actually publishing to any real marketplace"
"Won't","Deployment, Docker, or CI"
"Won't","Polished visual design, tidy and usable is the bar, not beautiful"
"Won't","Image handling, pricing logic, translation, or multiple languages"
